,OPEN,HIGH,LOW,CLOSE,VOLUME,AMT
2023-11-16,1.006,1.006,0.989,0.99,114722388.99999999,114780396.0
2023-11-17,0.989,0.999,0.987,0.997,24952671.0,24829791.0
2023-11-20,0.998,1.011,0.998,1.011,69224346.0,69608632.0
2023-11-21,1.013,1.02,1.003,1.006,32419840.999999996,32842207.000000004
2023-11-22,1.006,1.006,0.986,0.986,15899332.999999998,15816116.0
2023-11-23,0.995,0.996,0.98,0.995,16298915.0,16144391.0
2023-11-24,0.993,0.996,0.981,0.982,17212219.0,16956297.0
2023-11-27,0.982,0.987,0.977,0.985,19135667.0,18793404.0
2023-11-28,0.983,0.993,0.98,0.992,15800031.0,15608001.0
2023-11-29,0.991,1.0,0.988,0.993,7218864.0,7169454.0
2023-11-30,0.996,0.999,0.982,0.991,9706048.0,9587649.0
2023-12-01,0.997,0.997,0.973,0.988,15533900.0,15204009.0
2023-12-04,0.989,0.989,0.981,0.981,3138016.0,3084140.0
2023-12-05,0.977,0.977,0.955,0.955,17420400.0,16769178.0
2023-12-06,0.953,0.958,0.948,0.95,15064846.0,14356894.0
2023-12-07,0.947,0.956,0.941,0.955,15643000.0,14810783.0
2023-12-08,0.955,0.963,0.954,0.957,14303957.999999998,13721793.0
2023-12-11,0.949,0.972,0.943,0.97,15082001.999999998,14478043.0
2023-12-12,0.97,0.971,0.963,0.964,14307878.0,13845755.0
2023-12-13,0.964,0.984,0.962,0.973,15804801.999999998,15404474.0
2023-12-14,1.034,1.034,0.961,0.961,16910877.0,16364565.0
2023-12-15,0.96,0.964,0.95,0.951,16880601.0,16153003.0
2023-12-18,0.945,0.949,0.936,0.938,15294001.999999998,14383333.0
2023-12-19,0.929,0.947,0.929,0.945,14124700.0,13317571.0
2023-12-20,0.947,0.949,0.929,0.931,15850201.0,14818727.0
2023-12-21,0.929,0.943,0.918,0.939,6308887.0,5899673.0
2023-12-22,0.939,0.943,0.927,0.929,15832410.999999998,14834809.0
2023-12-25,0.929,0.937,0.927,0.936,15183948.000000002,14194284.0
2023-12-26,0.934,0.934,0.909,0.92,16636803.0,15197772.0
2023-12-27,0.912,0.922,0.909,0.921,14821910.0,13585468.0
2023-12-28,0.916,0.949,0.916,0.944,9800399.0,9236298.0
2023-12-29,0.949,0.96,0.936,0.959,14435701.0,13825746.0
2024-01-02,0.959,0.963,0.945,0.945,15956101.999999998,15151419.0
2024-01-03,0.943,0.943,0.921,0.928,15039700.0,13955669.0
2024-01-04,0.928,0.928,0.912,0.915,17100700.0,15720481.0
2024-01-05,0.915,0.921,0.895,0.902,17369302.0,15741838.0
2024-01-08,0.895,0.895,0.878,0.878,16416400.0,14481883.0
2024-01-09,0.888,0.899,0.882,0.89,15661406.0,13888976.0
2024-01-10,0.89,0.891,0.871,0.878,15790500.0,13883976.0
2024-01-11,0.877,0.897,0.875,0.894,15436201.999999998,13638442.0
2024-01-12,0.893,0.895,0.883,0.885,15371600.0,13687128.0
2024-01-15,0.885,0.885,0.87,0.878,8037103.0,7061551.0
2024-01-16,0.875,0.879,0.863,0.875,9496328.0,8266611.000000001
2024-01-17,0.875,0.875,0.852,0.852,13841400.0,11921976.0
2024-01-18,0.841,0.852,0.827,0.852,16052779.999999998,13416881.0
2024-01-19,0.847,0.855,0.841,0.842,7300000.999999999,6161018.0
2024-01-22,0.84,0.84,0.794,0.8,18216208.0,15005140.0
2024-01-23,0.801,0.818,0.792,0.815,14562924.0,11814441.0
2024-01-24,0.811,0.825,0.795,0.822,17631800.0,14211945.0
2024-01-25,0.821,0.843,0.816,0.841,12529400.0,10481606.0
2024-01-26,0.841,0.842,0.83,0.832,18002043.0,15054364.0
2024-01-29,0.835,0.835,0.804,0.805,19150900.0,15464939.0
2024-01-30,0.798,0.818,0.791,0.792,19008814.0,15267266.0
2024-01-31,0.793,0.794,0.761,0.764,12456305.0,9598344.0
2024-02-01,0.761,0.785,0.756,0.771,18149791.0,14120412.0
2024-02-02,0.777,0.779,0.728,0.753,19802800.0,14899378.0
2024-02-05,0.753,0.753,0.702,0.721,15102607.0,11002052.0
2024-02-06,0.719,0.768,0.704,0.76,7367920.0,5469577.0
2024-02-07,0.766,0.797,0.76,0.783,6503700.0,5079904.0
